15	10	E	-9021144.568902541	200
emissionprobs	14	1	H3k04me1	0	0.9978402743431589
emissionprobs	14	1	H3k04me1	1	0.0021597256568410815
emissionprobs	14	2	H3k09me3	0	0.1281608417408004
emissionprobs	14	2	H3k09me3	1	0.8718391582591997
emissionprobs	14	3	H3k27ac	0	0.9997365277482544
emissionprobs	14	3	H3k27ac	1	2.63472251745656E-4
emissionprobs	14	4	H3k27me3	0	0.9868723178018013
emissionprobs	14	4	H3k27me3	1	0.013127682198198726
emissionprobs	14	5	H3k36me3	0	0.9940241847888293
emissionprobs	14	5	H3k36me3	1	0.005975815211170738
emissionprobs	14	6	H3k4me2	0	0.9991982977351447
emissionprobs	14	6	H3k4me2	1	8.017022648552754E-4
emissionprobs	14	7	H3k4me3	0	0.9994441207448904
emissionprobs	14	7	H3k4me3	1	5.558792551095847E-4
emissionprobs	14	8	H3k79me2	0	0.9938765550913962
emissionprobs	14	8	H3k79me2	1	0.006123444908603931
emissionprobs	14	9	H3k9ac	0	0.998942000308008
emissionprobs	14	9	H3k9ac	1	0.0010579996919919566
emissionprobs	15	0	H2az	0	0.9975662357300924
emissionprobs	15	0	H2az	1	0.002433764269907616
emissionprobs	15	1	H3k04me1	0	0.9998720351833315
emissionprobs	15	1	H3k04me1	1	1.2796481666845722E-4
emissionprobs	15	2	H3k09me3	0	0.8331246502282237
emissionprobs	15	2	H3k09me3	1	0.16687534977177634
emissionprobs	15	3	H3k27ac	0	0.9999910835344096
emissionprobs	15	3	H3k27ac	1	8.916465590351091E-6
emissionprobs	15	4	H3k27me3	0	0.9997567881739524
emissionprobs	15	4	H3k27me3	1	2.4321182604766792E-4
emissionprobs	15	5	H3k36me3	0	0.9999164437531063
emissionprobs	15	5	H3k36me3	1	8.355624689381016E-5
emissionprobs	15	6	H3k4me2	0	0.9999502703559329
emissionprobs	15	6	H3k4me2	1	4.9729644067117054E-5
emissionprobs	15	7	H3k4me3	0	0.9999879598701044
emissionprobs	15	7	H3k4me3	1	1.2040129895575695E-5
emissionprobs	15	8	H3k79me2	0	0.9999801131525693
emissionprobs	15	8	H3k79me2	1	1.9886847430651147E-5
emissionprobs	15	9	H3k9ac	0	0.9999465692173146
emissionprobs	15	9	H3k9ac	1	5.3430782685291987E-5
